"Time (s) good cart run #1","Position (m) good cart run #1","Velocity (m/s) good cart run #1","Acceleration (m/s²) good cart run #1","Time (s) bad cart plunger run #2","Position (m) bad cart plunger run #2","Velocity (m/s) bad cart plunger run #2","Acceleration (m/s²) bad cart plunger run #2","Time (s) bad cart magnetic run #3","Position (m) bad cart magnetic run #3","Velocity (m/s) bad cart magnetic run #3","Acceleration (m/s²) bad cart magnetic run #3","Time (s) good cart run #4","Position (m) good cart run #4","Velocity (m/s) good cart run #4","Acceleration (m/s²) good cart run #4","Time (s) good cart Run #5","Position (m) good cart Run #5","Velocity (m/s) good cart Run #5","Acceleration (m/s²) good cart Run #5","Time (s) good cart sail Run #6","Position (m) good cart sail Run #6","Velocity (m/s) good cart sail Run #6","Acceleration (m/s²) good cart sail Run #6","Time (s) stationary test run #7","Position (m) stationary test run #7","Velocity (m/s) stationary test run #7","Acceleration (m/s²) stationary test run #7","Time (s) stationary test run #8","Position (m) stationary test run #8","Velocity (m/s) stationary test run #8","Acceleration (m/s²) stationary test run #8","Time (s) stationary test run #9","Position (m) stationary test run #9","Velocity (m/s) stationary test run #9","Acceleration (m/s²) stationary test run #9","Time (s) stationary test run #10","Position (m) stationary test run #10","Velocity (m/s) stationary test run #10","Acceleration (m/s²) stationary test run #10","Time (s) stationary test run #11","Position (m) stationary test run #11","Velocity (m/s) stationary test run #11","Acceleration (m/s²) stationary test run #11","Time (s) goodd cart run #12","Position (m) goodd cart run #12","Velocity (m/s) goodd cart run #12","Acceleration (m/s²) goodd cart run #12"
3.860,0.79,-0.19,1.61,3.860,0.88,-0.04,0.57,3.860,0.83,-0.14,0.15,3.860,0.75,-0.07,0.45,3.860,0.76,-0.11,-1.37,3.860,1.14,0.14,-3.15,3.860,1.12,9.30E-4,-0.06,3.860,0.45,-0.01,0.06,3.860,1.08,0.01,0.10,3.860,0.62,0.00,0.04,3.860,0.89,0.01,-2.79E-13,3.860,0.84,0.02,0.70
3.870,0.79,-0.19,0.53,3.870,0.88,-0.03,0.62,3.870,0.82,-0.14,0.75,3.870,0.75,-0.06,0.35,3.870,0.75,-0.14,-0.09,3.870,1.14,0.14,-2.32,3.870,1.12,0.00,-0.22,3.870,0.45,0.00,0.33,3.870,1.08,0.01,0.07,3.870,0.62,-5.17E-4,0.10,3.870,0.89,0.01,-0.01,3.870,0.84,0.03,0.78
3.880,0.79,-0.19,-0.09,3.880,0.88,-0.02,0.41,3.880,0.82,-0.13,1.38,3.880,0.75,-0.06,0.28,3.880,0.75,-0.11,1.30,3.880,1.14,0.13,-4.11,3.880,1.12,-0.01,-0.16,3.880,0.45,0.00,0.36,3.880,1.08,0.01,0.16,3.880,0.62,0.00,0.07,3.880,0.89,0.01,0.01,3.880,0.84,0.04,0.75
3.890,0.79,-0.19,0.27,3.890,0.88,-0.02,0.26,3.890,0.82,-0.11,1.30,3.890,0.75,-0.06,0.32,3.890,0.75,-0.08,0.86,3.890,1.14,0.07,-8.86,3.890,1.12,-0.01,0.06,3.890,0.45,0.01,0.17,3.890,1.08,0.01,0.29,3.890,0.62,0.00,-0.08,3.890,0.89,0.00,0.15,3.890,0.84,0.04,0.61
3.900,0.79,-0.19,0.84,3.900,0.88,-0.02,0.36,3.900,0.82,-0.09,0.64,3.900,0.75,-0.06,0.38,3.900,0.75,-0.09,-0.08,3.900,1.14,-0.04,-14.20,3.900,1.12,0.00,0.21,3.900,0.45,0.01,-0.08,3.900,1.08,0.02,0.35,3.900,0.62,5.17E-4,-0.21,3.900,0.89,0.01,0.31,3.900,0.84,0.05,0.46
3.910,0.78,-0.17,1.01,3.910,0.88,-0.02,0.49,3.910,0.82,-0.10,0.04,3.910,0.74,-0.05,0.38,3.910,0.75,-0.10,0.43,3.910,1.14,-0.23,-16.32,3.910,1.12,0.00,0.17,3.910,0.45,0.00,-0.20,3.910,1.08,0.02,0.22,3.910,0.62,0.00,-0.12,3.910,0.89,0.01,0.44,3.910,0.84,0.05,0.34
3.920,0.78,-0.16,0.78,3.920,0.88,-0.01,0.44,3.920,0.82,-0.10,0.02,3.920,0.74,-0.05,0.37,3.920,0.75,-0.09,1.54,3.920,1.14,-0.42,-12.59,3.920,1.12,0.00,0.06,3.920,0.45,0.00,-0.16,3.920,1.08,0.02,-0.21,3.920,0.62,0.00,0.04,3.920,0.89,0.02,0.44,3.920,0.84,0.05,0.11
3.930,0.78,-0.16,0.46,3.930,0.88,-0.01,0.37,3.930,0.82,-0.10,0.43,3.930,0.74,-0.04,0.41,3.930,0.75,-0.06,1.43,3.930,1.13,-0.52,-4.69,3.930,1.12,0.00,0.00,3.930,0.45,0.00,-0.05,3.930,1.08,0.02,-0.53,3.930,0.62,0.00,0.10,3.930,0.90,0.02,0.24,3.930,0.84,0.06,-0.19
3.940,0.78,-0.15,0.35,3.940,0.88,0.00,0.42,3.940,0.82,-0.09,0.49,3.940,0.74,-0.04,0.54,3.940,0.75,-0.05,0.22,3.940,1.13,-0.50,2.05,3.940,1.12,0.00,0.02,3.940,0.45,0.00,0.00,3.940,1.08,0.01,-0.59,3.940,0.62,0.00,0.06,3.940,0.90,0.02,-0.15,3.940,0.84,0.05,-0.31
3.950,0.78,-0.15,0.08,3.950,0.88,0.00,0.50,3.950,0.82,-0.08,0.19,3.950,0.74,-0.03,0.52,3.950,0.75,-0.06,-0.57,3.950,1.12,-0.43,5.56,3.950,1.12,0.00,-0.02,3.950,0.45,0.00,0.00,3.950,1.08,0.00,-0.39,3.950,0.62,0.00,-0.01,3.950,0.90,0.02,-0.59,3.950,0.84,0.04,0.12
3.960,0.78,-0.15,-0.31,3.960,0.88,0.01,0.42,3.960,0.81,-0.09,0.12,3.960,0.74,-0.03,0.31,3.960,0.75,-0.07,-0.21,3.960,1.12,-0.39,7.25,3.960,1.12,9.30E-4,-0.11,3.960,0.45,0.00,0.00,3.960,1.08,0.00,-0.17,3.960,0.62,0.00,0.04,3.960,0.90,0.01,-0.60,3.960,0.84,0.05,0.93
3.970,0.77,-0.16,-0.48,3.970,0.88,0.01,0.24,3.970,0.81,-0.09,0.44,3.970,0.74,-0.03,0.17,3.970,0.75,-0.07,0.64,3.970,1.12,-0.30,8.32,3.970,1.12,0.00,-0.24,3.970,0.45,0.00,0.00,3.970,1.08,0.00,-0.08,3.970,0.62,-5.17E-4,0.10,3.970,0.90,0.00,-0.29,3.970,0.84,0.07,1.21
3.980,0.77,-0.16,-0.31,3.980,0.88,0.01,0.20,3.980,0.81,-0.08,0.68,3.980,0.74,-0.03,0.25,3.980,0.75,-0.05,1.10,3.980,1.11,-0.20,6.89,3.980,1.12,0.00,-0.29,3.980,0.45,0.00,0.00,3.980,1.08,0.00,0.02,3.980,0.62,0.00,0.07,3.980,0.90,0.01,-0.04,3.980,0.84,0.08,0.55
3.990,0.77,-0.16,0.27,3.990,0.88,0.01,0.36,3.990,0.81,-0.07,0.43,3.990,0.74,-0.02,0.47,3.990,0.75,-0.04,0.92,3.990,1.11,-0.12,1.64,3.990,1.12,-0.01,-0.13,3.990,0.45,0.00,0.00,3.990,1.08,-9.00E-4,0.13,3.990,0.62,0.00,-0.08,3.990,0.90,0.01,-0.08,3.990,0.84,0.08,-0.33
4.000,0.77,-0.16,0.61,4.000,0.88,0.02,0.50,4.000,0.81,-0.07,0.17,4.000,0.74,-0.02,0.55,4.000,0.75,-0.03,0.41,4.000,1.11,-0.15,-4.45,4.000,1.12,-0.01,0.03,4.000,0.45,0.00,0.00,4.000,1.08,0.00,0.22,4.000,0.62,5.17E-4,-0.21,4.000,0.90,0.00,-0.18,4.000,0.84,0.07,-0.27
4.010,0.77,-0.15,0.69,4.010,0.88,0.03,0.42,4.010,0.81,-0.07,0.24,4.010,0.74,-0.01,0.45,4.010,0.75,-0.03,8.54E-5,4.010,1.11,-0.25,-6.96,4.010,1.12,0.00,-0.05,4.010,0.45,0.00,0.00,4.010,1.08,0.01,0.16,4.010,0.62,0.00,-0.12,4.010,0.90,-7.47E-4,-0.04,4.010,0.84,0.06,0.53
4.020,0.77,-0.14,0.56,4.020,0.88,0.03,0.25,4.020,0.81,-0.06,0.49,4.020,0.74,-0.01,0.34,4.020,0.75,-0.03,-0.05,4.020,1.11,-0.34,-4.68,4.020,1.12,-0.01,-0.27,4.020,0.45,0.00,0.00,4.020,1.08,0.01,-0.07,4.020,0.62,0.00,0.04,4.020,0.90,0.00,0.16,4.020,0.84,0.08,1.03
4.030,0.77,-0.14,0.57,4.030,0.88,0.03,0.18,4.030,0.81,-0.06,0.50,4.030,0.74,0.00,0.29,4.030,0.74,-0.04,0.20,4.030,1.10,-0.35,-1.83,4.030,1.12,-0.01,-0.25,4.030,0.45,0.00,0.00,4.030,1.08,0.00,-0.21,4.030,0.62,0.00,0.10,4.030,0.90,0.01,0.16,4.030,0.85,0.09,0.95
4.040,0.76,-0.13,0.83,4.040,0.88,0.03,0.23,4.040,0.81,-0.05,0.19,4.040,0.74,-6.18E-4,0.29,4.040,0.74,-0.03,0.43,4.040,1.10,-0.33,-1.10,4.040,1.11,-0.02,0.13,4.040,0.45,0.00,0.00,4.040,1.08,0.00,-0.17,4.040,0.62,0.00,0.06,4.040,0.90,0.01,-0.09,4.040,0.85,0.10,0.78
4.050,0.76,-0.12,1.04,4.050,0.88,0.03,0.30,4.050,0.81,-0.05,-0.10,4.050,0.74,0.00,0.29,4.050,0.74,-0.02,0.45,4.050,1.10,-0.37,-0.72,4.050,1.11,-0.01,0.41,4.050,0.45,0.00,0.00,4.050,1.08,0.00,-0.06,4.050,0.62,0.00,0.00,4.050,0.90,0.00,-0.33,4.050,0.85,0.11,0.61
4.060,0.76,-0.11,0.96,4.060,0.88,0.04,0.25,4.060,0.81,-0.06,0.07,4.060,0.74,0.01,0.28,4.060,0.74,-0.02,0.33,4.060,1.09,-0.39,1.97,4.060,1.11,0.00,0.35,4.060,0.45,0.00,0.00,4.060,1.08,0.00,0.00,4.060,0.62,0.00,0.00,4.060,0.90,0.00,-0.38,4.060,0.85,0.12,0.05
4.070,0.76,-0.10,0.52,4.070,0.88,0.04,0.19,4.070,0.81,-0.06,0.67,4.070,0.74,0.01,0.31,4.070,0.74,-0.02,0.31,4.070,1.09,-0.34,5.20,4.070,1.11,0.00,0.13,4.070,0.45,0.00,0.00,4.070,1.08,0.00,0.00,4.070,0.62,0.00,0.00,4.070,0.90,-0.01,-0.21,4.070,0.85,0.11,-0.47
4.080,0.76,-0.10,0.05,4.080,0.88,0.04,0.17,4.080,0.81,-0.04,0.99,4.080,0.74,0.01,0.42,4.080,0.74,-0.02,0.41,4.080,1.09,-0.24,4.99,4.080,1.11,0.00,1.57E-5,4.080,0.45,0.00,0.00,4.080,1.08,0.00,0.00,4.080,0.62,0.00,0.00,4.080,0.90,-0.01,0.07,4.080,0.85,0.10,-0.39
4.090,0.76,-0.10,-0.02,4.090,0.88,0.04,0.25,4.090,0.81,-0.03,0.69,4.090,0.74,0.02,0.49,4.090,0.74,-0.01,0.50,4.090,1.08,-0.20,2.02,4.090,1.11,0.00,1.03E-5,4.090,0.45,0.00,0.00,4.090,1.08,0.00,0.00,4.090,0.62,0.00,0.01,4.090,0.90,0.00,0.20,4.090,0.85,0.10,0.08
4.100,0.76,-0.11,0.31,4.100,0.88,0.04,0.43,4.100,0.81,-0.03,0.12,4.100,0.74,0.02,0.45,4.100,0.74,0.00,0.61,4.100,1.08,-0.22,-1.19,4.100,1.11,0.00,-5.48E-6,4.100,0.45,0.00,0.00,4.100,1.08,0.00,-0.02,4.100,0.62,0.00,-0.03,4.100,0.90,0.00,0.17,4.100,0.85,0.11,0.37
4.110,0.76,-0.10,0.46,4.110,0.88,0.05,0.47,4.110,0.81,-0.03,-0.06,4.110,0.74,0.03,0.33,4.110,0.74,0.00,0.68,4.110,1.08,-0.24,-3.12,4.110,1.11,0.00,-0.02,4.110,0.45,0.00,0.00,4.110,1.08,0.00,0.02,4.110,0.62,5.17E-4,-0.13,4.110,0.90,0.00,0.06,4.110,0.85,0.11,0.37
4.120,0.76,-0.09,0.29,4.120,0.88,0.06,0.32,4.120,0.81,-0.03,0.19,4.120,0.74,0.03,0.32,4.120,0.74,0.01,0.65,4.120,1.08,-0.28,-3.35,4.120,1.11,0.00,0.02,4.120,0.45,0.00,0.00,4.120,1.08,-9.00E-4,0.13,4.120,0.62,0.00,-0.21,4.120,0.90,0.00,0.00,4.120,0.86,0.11,0.58
4.130,0.76,-0.09,0.22,4.130,0.89,0.06,0.13,4.130,0.81,-0.03,0.44,4.130,0.74,0.03,0.38,4.130,0.74,0.02,0.51,4.130,1.07,-0.33,-1.35,4.130,1.11,0.00,0.14,4.130,0.45,0.00,0.00,4.130,1.08,0.00,0.22,4.130,0.62,-0.01,-0.14,4.130,0.90,0.00,0.00,4.130,0.86,0.12,1.01
4.140,0.75,-0.09,0.54,4.140,0.89,0.06,0.15,4.140,0.81,-0.02,0.42,4.140,0.74,0.04,0.39,4.140,0.74,0.02,0.34,4.140,1.07,-0.33,1.92,4.140,1.11,-9.29E-4,0.19,4.140,0.45,0.00,0.00,4.140,1.08,0.01,0.16,4.140,0.62,-0.01,0.12,4.140,0.90,0.00,0.00,4.140,0.86,0.13,1.10
4.150,0.75,-0.08,0.76,4.150,0.89,0.06,0.32,4.150,0.81,-0.02,0.25,4.150,0.74,0.04,0.34,4.150,0.74,0.02,0.30,4.150,1.07,-0.27,3.08,4.150,1.11,0.00,0.05,4.150,0.45,0.00,0.00,4.150,1.08,0.01,-0.07,4.150,0.62,0.00,0.30,4.150,0.90,0.00,0.00,4.150,0.86,0.15,0.55
4.160,0.75,-0.07,0.57,4.160,0.89,0.07,0.38,4.160,0.81,-0.02,0.18,4.160,0.74,0.04,0.29,4.160,0.74,0.03,0.27,4.160,1.06,-0.23,1.60,4.160,1.11,9.29E-4,-0.17,4.160,0.45,0.00,0.00,4.160,1.08,0.00,-0.21,4.160,0.62,0.00,0.23,4.160,0.90,0.00,0.00,4.160,0.86,0.15,-0.23
4.170,0.75,-0.07,0.32,4.170,0.89,0.07,0.38,4.170,0.80,-0.02,0.22,4.170,0.74,0.05,0.29,4.170,0.74,0.03,0.13,4.170,1.06,-0.25,0.50,4.170,1.11,0.00,-0.13,4.170,0.45,0.00,0.00,4.170,1.08,0.00,-0.17,4.170,0.62,0.00,-0.02,4.170,0.90,0.00,0.00,4.170,0.86,0.14,-0.59
4.180,0.75,-0.07,0.36,4.180,0.89,0.07,0.39,4.180,0.80,-0.01,0.31,4.180,0.74,0.05,0.28,4.180,0.74,0.03,-0.05,4.180,1.06,-0.26,1.35,4.180,1.11,0.00,0.16,4.180,0.45,0.00,0.00,4.180,1.08,0.00,-0.06,4.180,0.62,5.16E-4,-0.22,4.180,0.90,0.00,0.00,4.180,0.86,0.13,-0.33
4.190,0.75,-0.06,0.49,4.190,0.89,0.08,0.37,4.190,0.80,-0.01,0.41,4.190,0.75,0.05,0.32,4.190,0.74,0.03,-0.10,4.190,1.06,-0.21,2.04,4.190,1.11,0.00,0.32,4.190,0.45,0.00,0.00,4.190,1.08,0.00,0.00,4.190,0.62,0.00,-0.09,4.190,0.90,0.00,0.00,4.190,0.86,0.13,-0.07
4.200,0.75,-0.06,0.44,4.200,0.89,0.08,0.22,4.200,0.80,0.00,0.53,4.200,0.75,0.05,0.39,4.200,0.75,0.03,0.10,4.200,1.06,-0.18,1.08,4.200,1.11,0.01,0.24,4.200,0.45,0.00,-0.01,4.200,1.08,0.00,0.00,4.200,0.62,0.00,0.17,4.200,0.90,0.00,0.00,4.200,0.87,0.13,-0.15
4.210,0.75,-0.05,0.37,4.210,0.89,0.08,0.08,4.210,0.80,0.00,0.55,4.210,0.75,0.06,0.36,4.210,0.75,0.03,0.54,4.210,1.05,-0.20,-0.45,4.210,1.11,0.01,0.06,4.210,0.45,0.00,0.04,4.210,1.08,0.00,0.00,4.210,0.62,0.00,0.31,4.210,0.90,0.00,0.01,4.210,0.87,0.13,-0.36
4.220,0.75,-0.05,0.42,4.220,0.89,0.08,0.12,4.220,0.80,0.01,0.45,4.220,0.75,0.06,0.24,4.220,0.75,0.03,0.97,4.220,1.05,-0.21,-1.45,4.220,1.11,0.01,0.02,4.220,0.45,-3.73E-4,0.10,4.220,1.08,0.00,0.00,4.220,0.62,0.01,0.19,4.220,0.90,0.00,-0.04,4.220,0.87,0.12,-0.36
4.230,0.75,-0.04,0.50,4.230,0.89,0.08,0.23,4.230,0.80,0.01,0.36,4.230,0.75,0.06,0.21,4.230,0.75,0.05,1.22,4.230,1.05,-0.22,-1.51,4.230,1.11,0.01,-0.05,4.230,0.45,0.00,0.07,4.230,1.08,0.00,0.00,4.230,0.62,0.01,-0.08,4.230,0.90,7.47E-4,-0.10,4.230,0.87,0.12,0.09
4.240,0.75,-0.04,0.41,4.240,0.89,0.09,0.29,4.240,0.80,0.01,0.26,4.240,0.75,0.06,0.36,4.240,0.75,0.06,0.99,4.240,1.05,-0.25,-0.51,4.240,1.11,0.01,-0.09,4.240,0.45,0.00,-0.08,4.240,1.08,0.00,-0.02,4.240,0.62,0.00,-0.20,4.240,0.90,0.00,-0.11,4.240,0.87,0.12,0.71
4.250,0.75,-0.03,0.24,4.250,0.89,0.09,0.29,4.250,0.80,0.02,0.15,4.250,0.75,0.07,0.49,4.250,0.75,0.07,0.17,4.250,1.04,-0.24,1.04,4.250,1.11,0.00,0.03,4.250,0.45,3.73E-4,-0.20,4.250,1.08,0.00,0.03,4.250,0.62,0.00,-0.16,4.250,0.90,0.00,-0.04,4.250,0.87,0.13,1.21
4.260,0.75,-0.04,0.21,4.260,0.90,0.09,0.29,4.260,0.81,0.02,0.07,4.260,0.75,0.08,0.44,4.260,0.75,0.07,-0.77,4.260,1.04,-0.21,1.45,4.260,1.11,0.00,0.27,4.260,0.45,0.00,-0.11,4.260,1.08,-9.00E-4,0.11,4.260,0.62,0.00,-0.06,4.260,0.90,0.00,-0.02,4.260,0.87,0.15,1.25
4.270,0.75,-0.03,0.36,4.270,0.90,0.09,0.29,4.270,0.81,0.02,0.16,4.270,0.75,0.08,0.38,4.270,0.75,0.05,-1.02,4.270,1.04,-0.20,0.14,4.270,1.11,0.01,0.40,4.270,0.45,0.00,0.04,4.270,1.08,0.00,0.09,4.270,0.62,0.00,0.00,4.270,0.90,0.00,-0.33,4.270,0.88,0.16,0.80
4.280,0.75,-0.03,0.49,4.280,0.90,0.10,0.30,4.280,0.81,0.02,0.36,4.280,0.75,0.08,0.38,4.280,0.75,0.04,0.37,4.280,1.04,-0.21,-0.70,4.280,1.12,0.01,0.22,4.280,0.45,0.00,0.10,4.280,1.08,0.00,-0.07,4.280,0.62,0.00,0.00,4.280,0.90,-0.01,-0.61,4.280,0.88,0.17,0.39
4.290,0.75,-0.02,0.44,4.290,0.90,0.10,0.25,4.290,0.81,0.03,0.31,4.290,0.75,0.09,0.38,4.290,0.75,0.04,2.16,4.290,1.04,-0.23,-0.62,4.290,1.12,0.02,-0.05,4.290,0.45,0.00,0.05,4.290,1.08,9.00E-4,-0.22,4.290,0.62,0.00,0.00,4.290,0.90,-0.02,-0.54,4.290,0.88,0.16,0.31
4.300,0.75,-0.02,0.37,4.300,0.90,0.10,0.19,4.300,0.81,0.03,-0.05,4.300,0.75,0.09,0.36,4.300,0.75,0.10,2.02,4.300,1.04,-0.21,-0.52,4.300,1.12,0.01,-0.24,4.300,0.45,0.00,0.00,4.300,1.08,0.00,-0.14,4.300,0.62,0.00,0.00,4.300,0.90,-0.02,-0.07,4.300,0.88,0.17,0.44
4.310,0.75,-0.02,0.42,4.310,0.90,0.10,0.17,4.310,0.81,0.02,-0.17,4.310,0.75,0.09,0.46,4.310,0.75,0.12,-0.28,4.310,1.03,-0.23,-0.30,4.310,1.12,0.01,-0.27,4.310,0.45,0.00,0.00,4.310,1.08,0.00,0.03,4.310,0.62,0.00,0.00,4.310,0.90,-0.02,0.30,4.310,0.88,0.18,0.43
4.320,0.75,-0.01,0.50,4.320,0.90,0.11,0.26,4.320,0.81,0.02,0.35,4.320,0.75,0.10,0.59,4.320,0.75,0.08,-1.80,4.320,1.03,-0.24,0.10,4.320,1.12,0.01,-0.16,4.320,0.45,0.00,0.00,4.320,1.08,0.00,0.11,4.320,0.62,0.00,0.00,4.320,0.90,-0.01,0.26,4.320,0.88,0.18,0.23
4.330,0.75,0.00,0.41,4.330,0.90,0.11,0.39,4.330,0.81,0.03,1.04,4.330,0.76,0.11,0.52,4.330,0.75,0.04,0.09,4.330,1.03,-0.22,1.23,4.330,1.12,0.01,-0.08,4.330,0.45,0.00,0.00,4.330,1.08,0.00,0.06,4.330,0.62,0.00,0.00,4.330,0.90,-0.01,0.16,4.330,0.89,0.18,0.06
4.340,0.75,0.00,0.25,4.340,0.90,0.11,0.37,4.340,0.81,0.05,1.02,4.340,0.76,0.11,0.30,4.340,0.75,0.07,2.67,4.340,1.02,-0.22,1.82,4.340,1.12,0.01,-0.14,4.340,0.45,0.00,0.00,4.340,1.08,0.00,0.00,4.340,0.62,0.00,0.00,4.340,0.90,-0.01,0.08,4.340,0.89,0.18,4.62E-13
4.350,0.75,-6.21E-4,0.18,4.350,0.90,0.12,0.23,4.350,0.81,0.06,0.30,4.350,0.76,0.11,0.21,4.350,0.75,0.14,2.41,4.350,1.02,-0.18,1.71,4.350,1.12,0.00,-0.19,4.350,0.45,0.00,0.00,4.350,1.08,0.00,0.00,4.350,0.62,0.00,0.00,4.350,0.89,-0.01,0.13,4.350,0.89,0.18,-0.04
4.360,0.75,0.00,0.23,4.360,0.91,0.12,0.03,4.360,0.81,0.05,-0.32,4.360,0.76,0.11,0.37,4.360,0.76,0.14,-0.16,4.360,1.02,-0.17,0.66,4.360,1.12,-9.30E-4,-0.05,4.360,0.45,0.00,0.00,4.360,1.08,0.00,0.00,4.360,0.62,0.00,0.00,4.360,0.89,-0.01,0.19,4.360,0.89,0.18,0.06
4.370,0.75,0.01,0.28,4.370,0.91,0.12,0.06,4.370,0.81,0.04,-0.26,4.370,0.76,0.12,0.46,4.370,0.76,0.11,-1.57,4.370,1.02,-0.16,-0.96,4.370,1.12,0.00,0.14,4.370,0.45,0.00,0.00,4.370,1.08,0.00,0.00,4.370,0.62,0.00,0.00,4.370,0.89,-0.01,0.20,4.370,0.89,0.18,0.32
4.380,0.75,0.01,0.31,4.380,0.91,0.12,0.21,4.380,0.81,0.04,0.26,4.380,0.76,0.13,0.32,4.380,0.76,0.09,-0.71,4.380,1.02,-0.20,-1.29,4.380,1.12,0.01,0.17,4.380,0.45,0.00,0.00,4.380,1.08,0.00,0.00,4.380,0.62,0.00,-0.01,4.380,0.89,0.00,0.17,4.380,0.89,0.19,0.95
4.390,0.75,0.01,0.42,4.390,0.91,0.12,0.33,4.390,0.81,0.05,0.68,4.390,0.76,0.13,0.14,4.390,0.76,0.10,0.30,4.390,1.02,-0.21,-0.20,4.390,1.12,0.01,0.06,4.390,0.45,0.00,0.00,4.390,1.08,0.00,0.00,4.390,0.62,0.00,0.04,4.390,0.89,0.00,0.06,4.390,0.90,0.19,1.70
4.400,0.75,0.02,0.49,4.400,0.91,0.13,0.35,4.400,0.81,0.06,0.69,4.400,0.76,0.13,0.10,4.400,0.76,0.11,0.52,4.400,1.01,-0.20,1.52,4.400,1.12,0.01,0.02,4.400,0.45,0.00,0.00,4.400,1.08,0.00,0.00,4.400,0.62,-5.17E-4,0.10,4.400,0.89,0.00,-4.87E-6,4.400,0.90,0.22,1.82
4.410,0.75,0.02,0.45,4.410,0.91,0.13,0.29,4.410,0.81,0.07,0.37,4.410,0.77,0.13,0.22,4.410,0.76,0.11,0.15,4.410,1.01,-0.18,1.79,4.410,1.12,0.01,-0.03,4.410,0.45,0.00,0.00,4.410,1.08,0.00,0.00,4.410,0.62,0.00,0.06,4.410,0.89,0.00,-1.45E-5,4.410,0.90,0.24,0.95
4.420,0.75,0.03,0.34,4.420,0.91,0.13,0.30,4.420,0.81,0.07,0.17,4.420,0.77,0.13,0.68,4.420,0.76,0.11,0.58,4.420,1.01,-0.15,1.06,4.420,1.12,0.01,-0.11,4.420,0.45,0.00,0.00,4.420,1.08,0.00,0.00,4.420,0.62,0.00,-0.04,4.420,0.89,0.00,-0.01,4.420,0.90,0.25,-0.52
4.430,0.75,0.03,0.30,4.430,0.91,0.13,0.25,4.430,0.81,0.06,0.25,4.430,0.77,0.13,1.57,4.430,0.76,0.11,2.21,4.430,1.01,-0.16,0.29,4.430,1.12,0.00,-0.09,4.430,0.45,0.00,0.00,4.430,1.08,0.00,0.00,4.430,0.62,0.00,-0.10,4.430,0.89,0.00,0.04,4.430,0.91,0.23,-1.17
4.440,0.75,0.03,0.25,4.440,0.92,0.14,0.19,4.440,0.81,0.07,0.44,4.440,0.77,0.16,2.27,4.440,0.76,0.15,3.50,4.440,1.01,-0.15,-0.09,4.440,1.12,0.00,0.06,4.440,0.45,0.00,0.00,4.440,1.08,0.00,0.00,4.440,0.62,0.00,-0.06,4.440,0.89,0.00,0.10,4.440,0.91,0.21,-0.65
4.450,0.75,0.03,0.19,4.450,0.92,0.14,0.18,4.450,0.81,0.08,0.43,4.450,0.77,0.19,1.69,4.450,0.77,0.21,2.51,4.450,1.00,-0.15,-0.26,4.450,1.12,0.00,0.22,4.450,0.45,0.00,0.00,4.450,1.08,0.00,0.00,4.450,0.62,0.00,0.00,4.450,0.89,0.00,0.10,4.450,0.91,0.21,0.46
4.460,0.75,0.03,0.18,4.460,0.92,0.14,0.23,4.460,0.81,0.08,0.19,4.460,0.77,0.21,-0.01,4.460,0.77,0.22,-0.71,4.460,1.00,-0.16,-0.74,4.460,1.12,0.01,0.16,4.460,0.45,0.00,0.00,4.460,1.08,0.00,0.00,4.460,0.62,0.00,0.00,4.460,0.89,0.00,0.10,4.460,0.91,0.22,1.28
4.470,0.75,0.04,0.22,4.470,0.92,0.14,0.29,4.470,0.81,0.08,0.15,4.470,0.78,0.19,-1.54,4.470,0.77,0.18,-2.75,4.470,1.00,-0.17,-0.31,4.470,1.12,0.01,-0.05,4.470,0.45,0.00,0.00,4.470,1.08,0.00,0.00,4.470,0.62,0.00,0.01,4.470,0.89,-7.45E-4,0.11,4.470,0.91,0.24,1.29
4.480,0.75,0.04,0.31,4.480,0.92,0.15,0.29,4.480,0.82,0.08,0.38,4.480,0.78,0.16,-1.73,4.480,0.77,0.13,-2.13,4.480,1.00,-0.18,0.93,4.480,1.12,0.01,-0.24,4.480,0.45,0.00,0.00,4.480,1.08,0.00,0.00,4.480,0.62,0.00,-0.04,4.480,0.89,0.00,0.09,4.480,0.92,0.26,0.59
4.490,0.75,0.04,0.41,4.490,0.92,0.15,0.29,4.490,0.82,0.09,0.45,4.490,0.78,0.14,5.85,4.490,0.77,0.13,-0.76,4.490,1.00,-0.15,1.72,4.490,1.12,0.00,-0.27,4.490,0.45,0.00,0.00,4.490,1.08,0.00,0.00,4.490,0.62,5.17E-4,-0.10,4.490,0.89,0.00,-0.08,4.490,0.92,0.26,-0.33
4.500,0.75,0.05,0.54,4.500,0.92,0.15,0.29,4.500,0.82,0.10,0.16,4.500,0.78,0.15,18.05,4.500,0.77,0.14,1.05,4.500,1.00,-0.12,1.02,4.500,1.12,0.00,-0.17,4.500,0.45,0.00,0.00,4.500,1.08,0.00,0.00,4.500,0.62,0.00,-0.07,4.500,0.89,7.45E-4,-0.18,4.500,0.92,0.24,-0.68
4.510,0.75,0.05,0.52,4.510,0.93,0.15,0.30,4.510,0.82,0.09,-0.25,4.510,0.78,0.55,22.21,4.510,0.78,0.13,1.35,4.510,1.00,-0.12,-0.52,4.510,1.12,0.00,-0.06,4.510,0.45,0.00,0.00,4.510,1.08,0.00,-0.02,4.510,0.62,0.00,0.07,4.510,0.89,0.00,-0.02,4.510,0.92,0.23,-0.32
