"Time (s) good cart run #1","Position (m) good cart run #1","Velocity (m/s) good cart run #1","Acceleration (m/s²) good cart run #1","Time (s) bad cart plunger run #2","Position (m) bad cart plunger run #2","Velocity (m/s) bad cart plunger run #2","Acceleration (m/s²) bad cart plunger run #2","Time (s) bad cart magnetic run #3","Position (m) bad cart magnetic run #3","Velocity (m/s) bad cart magnetic run #3","Acceleration (m/s²) bad cart magnetic run #3","Time (s) good cart run #4","Position (m) good cart run #4","Velocity (m/s) good cart run #4","Acceleration (m/s²) good cart run #4","Time (s) good cart Run #5","Position (m) good cart Run #5","Velocity (m/s) good cart Run #5","Acceleration (m/s²) good cart Run #5","Time (s) good cart sail Run #6","Position (m) good cart sail Run #6","Velocity (m/s) good cart sail Run #6","Acceleration (m/s²) good cart sail Run #6","Time (s) stationary test run #7","Position (m) stationary test run #7","Velocity (m/s) stationary test run #7","Acceleration (m/s²) stationary test run #7","Time (s) stationary test run #8","Position (m) stationary test run #8","Velocity (m/s) stationary test run #8","Acceleration (m/s²) stationary test run #8","Time (s) stationary test run #9","Position (m) stationary test run #9","Velocity (m/s) stationary test run #9","Acceleration (m/s²) stationary test run #9","Time (s) stationary test run #10","Position (m) stationary test run #10","Velocity (m/s) stationary test run #10","Acceleration (m/s²) stationary test run #10","Time (s) stationary test run #11","Position (m) stationary test run #11","Velocity (m/s) stationary test run #11","Acceleration (m/s²) stationary test run #11","Time (s) goodd cart run #12","Position (m) goodd cart run #12","Velocity (m/s) goodd cart run #12","Acceleration (m/s²) goodd cart run #12"
0.120,0.45,0.00,0.00,0.120,0.45,3.73E-4,-0.20,0.120,0.45,0.00,-0.04,0.120,0.45,0.00,0.29,0.120,0.45,0.00,-0.11,0.120,0.88,0.02,-0.17,0.120,1.12,0.02,-0.21,0.120,0.45,0.00,0.00,0.120,1.08,-8.97E-4,-0.04,0.120,0.62,0.00,-0.01,0.120,0.89,0.01,0.08,0.120,0.75,-6.26E-4,0.13
0.130,0.45,0.00,0.00,0.130,0.45,0.00,-0.12,0.130,0.45,0.00,-0.10,0.130,0.45,0.00,0.32,0.130,0.45,0.00,0.04,0.130,0.88,0.01,-0.32,0.130,1.12,0.02,-0.30,0.130,0.45,0.00,0.00,0.130,1.08,0.00,0.16,0.130,0.62,0.00,0.04,0.130,0.89,0.01,-0.08,0.130,0.75,0.00,0.21
0.140,0.45,0.00,0.00,0.140,0.45,0.00,0.08,0.140,0.45,0.00,-0.05,0.140,0.45,0.01,0.03,0.140,0.45,0.00,0.10,0.140,0.88,0.00,-0.22,0.140,1.12,0.02,-0.41,0.140,0.45,0.00,0.00,0.140,1.08,0.01,0.16,0.140,0.62,-5.17E-4,0.10,0.140,0.89,0.00,-0.18,0.140,0.75,0.01,0.14
0.150,0.45,0.00,0.00,0.150,0.45,-3.73E-4,0.25,0.150,0.45,0.00,0.00,0.150,0.45,0.00,-0.25,0.150,0.45,0.00,0.10,0.150,0.88,0.01,0.13,0.150,1.12,0.01,-0.52,0.150,0.45,0.00,0.00,0.150,1.08,0.01,-0.07,0.150,0.62,0.00,0.07,0.150,0.89,-7.42E-4,-0.05,0.150,0.75,0.01,-0.07
0.160,0.45,0.00,0.00,0.160,0.45,0.00,0.22,0.160,0.45,0.00,0.00,0.160,0.45,0.00,-0.22,0.160,0.45,-3.79E-4,0.10,0.160,0.88,0.01,0.23,0.160,1.12,0.00,-0.43,0.160,0.45,0.00,0.00,0.160,1.08,0.00,-0.21,0.160,0.62,0.00,-0.08,0.160,0.89,0.00,0.19,0.160,0.75,0.00,-0.20
0.170,0.45,0.00,0.00,0.170,0.45,0.01,-0.02,0.170,0.45,0.00,0.00,0.170,0.45,0.00,0.03,0.170,0.45,0.00,0.07,0.170,0.88,0.01,0.07,0.170,1.12,-9.31E-4,-0.11,0.170,0.45,0.00,0.00,0.170,1.08,0.00,-0.19,0.170,0.62,5.17E-4,-0.22,0.170,0.89,0.00,0.25,0.170,0.75,0.00,-0.16
0.180,0.45,0.00,0.00,0.180,0.45,0.00,-0.29,0.180,0.45,0.00,0.00,0.180,0.45,-3.76E-4,0.20,0.180,0.45,0.00,-0.09,0.180,0.88,0.01,-0.04,0.180,1.12,0.00,0.14,0.180,0.45,0.00,0.00,0.180,1.08,0.00,-0.04,0.180,0.62,0.00,-0.08,0.180,0.89,0.01,0.01,0.180,0.75,0.00,-0.06
0.190,0.45,0.00,0.00,0.190,0.45,0.00,-0.32,0.190,0.45,0.00,0.00,0.190,0.45,0.00,0.11,0.190,0.45,3.79E-4,-0.16,0.190,0.88,0.01,-0.10,0.190,1.12,0.01,0.17,0.190,0.45,0.00,0.00,0.190,1.08,-8.98E-4,0.14,0.190,0.62,0.00,0.14,0.190,0.89,0.01,-0.27,0.190,0.75,0.00,0.00
0.200,0.45,0.00,0.00,0.200,0.45,-0.01,-0.07,0.200,0.45,0.00,0.00,0.200,0.45,0.00,-0.04,0.200,0.45,0.00,-0.01,0.200,0.88,0.01,-0.10,0.200,1.12,0.01,0.06,0.200,0.45,0.00,0.00,0.200,1.08,0.00,0.19,0.200,0.62,0.00,0.18,0.200,0.89,7.43E-4,-0.38,0.200,0.75,0.00,0.00
0.210,0.45,0.00,0.00,0.210,0.45,0.00,0.14,0.210,0.45,0.00,0.00,0.210,0.45,0.00,-0.10,0.210,0.45,-3.79E-4,0.11,0.210,0.88,0.01,-0.12,0.210,1.12,0.01,0.02,0.210,0.45,0.00,0.00,0.210,1.08,0.01,0.04,0.210,0.62,0.00,-0.03,0.210,0.89,0.00,-0.19,0.210,0.75,0.00,0.00
0.220,0.45,0.00,0.00,0.220,0.45,0.00,0.20,0.220,0.45,0.00,0.00,0.220,0.45,0.00,-0.05,0.220,0.45,0.00,0.02,0.220,0.88,0.01,-0.02,0.220,1.12,0.01,-0.03,0.220,0.45,0.00,0.00,0.220,1.08,0.00,-0.16,0.220,0.62,5.17E-4,-0.18,0.220,0.89,0.00,0.04,0.220,0.75,0.00,0.00
0.230,0.45,0.00,0.00,0.230,0.45,-3.73E-4,0.16,0.230,0.45,0.00,0.00,0.230,0.45,0.00,0.00,0.230,0.45,3.79E-4,-0.15,0.230,0.88,0.00,0.06,0.230,1.12,0.01,-0.11,0.230,0.45,0.00,0.00,0.230,1.08,0.00,-0.14,0.230,0.62,0.00,0.01,0.230,0.89,0.00,0.11,0.230,0.75,0.00,0.00
0.240,0.45,0.00,0.00,0.240,0.45,0.00,0.07,0.240,0.45,0.00,0.00,0.240,0.45,0.00,0.00,0.240,0.45,0.00,-0.11,0.240,0.88,0.01,0.17,0.240,1.12,0.00,-0.09,0.240,0.45,0.00,0.00,0.240,1.08,-8.98E-4,0.05,0.240,0.62,0.00,0.25,0.240,0.89,0.00,0.07,0.240,0.75,0.00,0.00
0.250,0.45,0.00,0.00,0.250,0.45,0.00,-0.08,0.250,0.45,0.00,0.00,0.250,0.45,0.00,0.00,0.250,0.45,0.00,0.04,0.250,0.88,0.01,0.46,0.250,1.12,0.00,0.06,0.250,0.45,0.00,0.00,0.250,1.08,0.00,0.08,0.250,0.62,0.01,0.23,0.250,0.89,0.00,-0.02,0.250,0.75,0.00,0.00
0.260,0.45,0.00,0.00,0.260,0.45,3.73E-4,-0.20,0.260,0.45,0.00,0.01,0.260,0.45,0.00,0.00,0.260,0.45,0.00,0.10,0.260,0.88,0.01,0.79,0.260,1.12,0.00,0.19,0.260,0.45,0.00,0.00,0.260,1.08,0.00,-0.03,0.260,0.62,0.01,-0.02,0.260,0.89,7.43E-4,-0.14,0.260,0.75,0.00,0.00
0.270,0.45,0.00,0.00,0.270,0.45,0.00,-0.11,0.270,0.45,0.00,-0.04,0.270,0.45,0.00,0.00,0.270,0.45,0.00,0.05,0.270,0.88,0.03,0.83,0.270,1.12,0.01,0.14,0.270,0.45,0.00,0.00,0.270,1.08,0.00,-0.11,0.270,0.62,0.00,-0.21,0.270,0.89,0.00,-0.18,0.270,0.75,0.00,0.00
0.280,0.45,0.00,0.00,0.280,0.45,0.00,0.04,0.280,0.45,3.73E-4,-0.10,0.280,0.45,0.00,0.00,0.280,0.45,0.00,0.00,0.280,0.88,0.04,0.22,0.280,1.12,0.01,0.24,0.280,0.45,0.00,0.00,0.280,1.08,0.00,-0.06,0.280,0.62,0.00,-0.13,0.280,0.89,-0.01,-0.02,0.280,0.75,0.00,0.00
0.290,0.45,0.00,0.00,0.290,0.45,0.00,0.10,0.290,0.45,0.00,-0.07,0.290,0.45,0.00,0.00,0.290,0.45,0.00,0.00,0.290,0.88,0.04,-0.54,0.290,1.12,0.01,0.61,0.290,0.45,0.00,0.00,0.290,1.08,0.00,0.00,0.290,0.62,-5.17E-4,0.08,0.290,0.89,0.00,0.13,0.290,0.75,0.00,0.00
0.300,0.45,0.00,0.00,0.300,0.45,0.00,0.05,0.300,0.45,0.00,0.08,0.300,0.45,0.00,0.00,0.300,0.45,0.00,0.00,0.300,0.88,0.02,-0.98,0.300,1.12,0.02,0.82,0.300,0.45,0.00,0.00,0.300,1.08,0.00,0.00,0.300,0.62,0.00,0.21,0.300,0.89,7.43E-4,0.00,0.300,0.75,0.00,0.00
0.310,0.45,0.00,0.00,0.310,0.45,0.00,0.00,0.310,0.45,-3.73E-4,0.20,0.310,0.45,0.00,0.00,0.310,0.45,0.00,0.00,0.310,0.88,0.01,-0.93,0.310,1.12,0.03,0.41,0.310,0.45,0.00,0.00,0.310,1.08,0.00,-0.01,0.310,0.62,0.01,0.14,0.310,0.89,0.00,-0.26,0.310,0.75,0.00,0.00
0.320,0.45,0.00,0.00,0.320,0.45,0.00,0.00,0.320,0.45,0.00,0.11,0.320,0.45,0.00,0.00,0.320,0.45,0.00,-0.01,0.320,0.88,7.35E-4,-0.60,0.320,1.12,0.03,-0.38,0.320,0.45,0.00,0.00,0.320,1.08,0.00,0.02,0.320,0.62,0.01,-0.12,0.320,0.89,-0.01,-0.22,0.320,0.75,0.00,0.00
0.330,0.45,0.00,0.00,0.330,0.45,0.00,0.00,0.330,0.45,0.00,-0.04,0.330,0.45,0.00,0.00,0.330,0.45,0.00,0.04,0.330,0.88,0.00,-0.47,0.330,1.12,0.02,-0.83,0.330,0.45,0.00,0.00,0.330,1.08,-8.98E-4,0.13,0.330,0.62,0.00,-0.30,0.330,0.89,-0.01,0.11,0.330,0.75,0.00,0.00
0.340,0.45,0.00,0.00,0.340,0.45,0.00,0.00,0.340,0.45,0.00,-0.10,0.340,0.45,0.00,0.00,0.340,0.45,-3.79E-4,0.10,0.340,0.88,0.00,-0.50,0.340,1.12,0.01,-0.68,0.340,0.45,0.00,0.00,0.340,1.08,0.00,0.24,0.340,0.62,0.00,-0.27,0.340,0.89,0.00,0.31,0.340,0.75,0.00,0.00
0.350,0.45,0.00,0.00,0.350,0.45,0.00,0.00,0.350,0.45,0.00,-0.05,0.350,0.45,0.00,0.00,0.350,0.45,0.00,0.07,0.350,0.88,-0.01,-0.63,0.350,1.12,0.01,-0.30,0.350,0.45,0.00,0.00,0.350,1.08,0.01,0.12,0.350,0.62,0.00,-0.07,0.350,0.89,0.00,0.20,0.350,0.75,0.00,0.00
0.360,0.45,0.00,0.01,0.360,0.45,0.00,0.00,0.360,0.45,0.00,0.00,0.360,0.45,0.00,0.01,0.360,0.45,0.00,-0.08,0.360,0.88,-0.02,-0.63,0.360,1.12,0.01,-0.08,0.360,0.45,0.00,-0.01,0.360,1.08,0.01,-0.18,0.360,0.62,0.00,0.10,0.360,0.89,0.00,0.11,0.360,0.75,0.00,0.00
0.370,0.45,0.00,-0.04,0.370,0.45,0.00,0.00,0.370,0.45,0.00,0.00,0.370,0.45,0.00,-0.04,0.370,0.45,3.79E-4,-0.20,0.370,0.88,-0.03,-0.43,0.370,1.12,0.01,0.02,0.370,0.45,0.00,0.04,0.370,1.08,8.98E-4,-0.30,0.370,0.62,0.00,0.06,0.370,0.89,0.00,0.25,0.370,0.75,0.00,0.00
